Feature,Shapiro_Stat,Shapiro_p,AD_Stat,AD_Critical_5pct,KS_Stat,KS_p,Skewness,Kurtosis,Is_Normal
Cold_Reheat_Pressure_Mpa,0.998624,0.0002777910072490886,0.857811,0.787,0.003292,0.8406717409494181,0.006917,-0.146938,False
CO2_ppm,0.998606,0.00024456839970967196,1.899531,0.787,0.004942,0.35748752292092,0.040245,-0.158175,False
Flue_Gas_in_Temperature_C,0.9986,0.0002345409296003955,2.079632,0.787,0.005732,0.19868330978378712,0.028926,-0.186393,False
Energy_Input_From_Boiler_Kcalh,0.998585,0.00021066729195112565,1.186516,0.787,0.0046,0.4468523959269767,0.015124,-0.164676,False
Flue_gas_temperature_,0.998581,0.00020448268029718336,1.265199,0.787,0.004323,0.5273982353960244,0.011266,-0.172032,False
Flow_rate_KNm3h,0.998581,0.000204257535865312,1.085147,0.787,0.003405,0.8096594496762596,-0.010148,-0.140222,False
Gross_Load_MW,0.998566,0.00018460550360508272,1.024112,0.787,0.003805,0.6888169974686101,0.015441,-0.157963,False
Feedwater_temperature_,0.998566,0.00018407352895086858,2.446118,0.787,0.006643,0.09018532528777279,0.041379,-0.156233,False
Cold_Reheat_Temperature_C,0.998558,0.00017421348419638822,0.930607,0.787,0.003645,0.7386001547425354,0.014717,-0.131053,False
Boiler_Eff_,0.998548,0.00016310688976999297,2.124574,0.787,0.005935,0.16839942981427825,-0.012458,-0.201521,False
Entalphy_Isentropis_Cold_Reheat_kjkg,0.998546,0.00016064704341330792,0.994886,0.787,0.003519,0.7765334866945697,-0.002812,-0.153825,False
ΔHP_isentropis_KjKg,0.998536,0.00015000954715713315,1.465603,0.787,0.00471,0.41694926940086063,-0.028528,-0.148472,False
NTHR_KcalKwh,0.998527,0.00014072775807516224,1.388578,0.787,0.004727,0.4121809776667976,-0.017774,-0.171111,False
Main_steam_flow_th,0.998519,0.00013333227182632228,0.885774,0.787,0.003412,0.8076891634347212,0.007862,-0.161501,False
Coal_Flow_th,0.998508,0.00012361965620342352,1.68774,0.787,0.005019,0.3391479110648763,0.014767,-0.157827,False
Reheater_desuperheating_water_flow_th,0.998507,0.00012258324127081932,1.682788,0.787,0.00548,0.24215218765145308,0.023187,-0.182462,False
Main_steam_temperature_turbine_side_,0.998501,0.00011761995923694525,0.867886,0.787,0.003453,0.7960409455005614,-0.001116,-0.13059,False
SO2_mgm3,0.998499,0.00011601757137931601,1.232233,0.787,0.003602,0.7518148856897603,-0.022415,-0.143749,False
Feedwater_flow_th,0.998497,0.00011442447192898049,0.929535,0.787,0.003776,0.6980568236424223,-0.002503,-0.1599,False
O2_in_APH_,0.998493,0.00011150032337158248,1.025388,0.787,0.003928,0.6501869053904568,0.012226,-0.128787,False
Feedwater_pressure_MPa,0.998493,0.00011134232463492442,0.956767,0.787,0.003455,0.7953319650102625,-0.00169,-0.131867,False
Corrected_Flue_Gas_Out_Temperature_C,0.998474,9.818401713733004e-05,1.452119,0.787,0.004752,0.40572736889213534,-0.01662,-0.178456,False
Condenser_vacuum_kPa,0.99847,9.55128663122627e-05,1.623938,0.787,0.005244,0.288806652782321,0.020182,-0.172279,False
Main_steam_temperature_boiler_side_,0.998465,9.214632561633337e-05,1.098244,0.787,0.003719,0.7156486174810364,0.018882,-0.150567,False
APH_Effectiveness_,0.998464,9.165834464080638e-05,1.127779,0.787,0.003989,0.630664694073924,-0.000453,-0.175471,False
Refference_Temperature_C,0.998461,8.985978863246479e-05,1.833622,0.787,0.005168,0.3051212481282114,-0.025132,-0.135034,False
Opacity_,0.99844,7.747493486957631e-05,1.524818,0.787,0.004744,0.4077285306498285,-0.001689,-0.16007,False
Entalphy_inlet_MS_kjkg,0.99843,7.267758727233811e-05,1.426029,0.787,0.004403,0.5033659073721152,0.027613,-0.172015,False
Reheat_steam_temperature_boiler_side_,0.998427,7.111243308159053e-05,0.920861,0.787,0.00363,0.7433113437692118,0.009004,-0.152462,False
O2_,0.998424,6.955454277360382e-05,1.347615,0.787,0.004511,0.4719815433710105,0.008784,-0.186401,False
Reheat_steam_temperature_turbine_side_,0.998407,6.203762728459469e-05,1.295755,0.787,0.005088,0.3230216360132486,0.004983,-0.160739,False
Nox_mgm3,0.998403,6.07742465906812e-05,0.998129,0.787,0.004151,0.5799578207578318,-0.010654,-0.159372,False
Pressure_Kpa,0.998403,6.061237912071955e-05,1.333159,0.787,0.00428,0.540354689541491,0.014859,-0.127533,False
Dust_mgm3,0.998392,5.633362379261301e-05,1.282545,0.787,0.004812,0.39000834066785717,0.026836,-0.151138,False
CO_mgm3,0.998357,4.470411824192205e-05,1.149311,0.787,0.004385,0.5088241867239847,-0.012491,-0.163536,False
APH_Leakage_,0.998338,3.943402068320268e-05,0.89598,0.787,0.003288,0.8416828849897726,0.00398,-0.161219,False
Reheat_steam_pressure_turbine_side_MPa,0.99833,3.737471803359489e-05,0.917307,0.787,0.003497,0.7832681079510763,-0.007396,-0.160874,False
Control_stage_pressure_Mpa,0.998307,3.219239188271651e-05,0.944724,0.787,0.003545,0.7689042259131249,-0.005368,-0.148699,False
Entropi_Inlet_MS_KjKg_Deg_C,0.998253,2.2564180056669572e-05,1.145818,0.787,0.004186,0.5690879964985651,0.011522,-0.14166,False
NPHR_KcalKwh,0.998209,1.7021631914559953e-05,0.965392,0.787,0.003517,0.7771577958038675,-0.008754,-0.14574,False
Boiler_oxygen_level_,0.998154,1.200415101129061e-05,1.929548,0.787,0.006041,0.15404001345539486,-0.004328,-0.206771,False
Temp_C,0.998122,9.811834757313479e-06,0.99022,0.787,0.003679,0.728228966158461,0.002614,-0.161465,False
week_of_year,0.959595,3.4941174564530806e-35,319.38401,0.787,0.067791,1.5089002534769364e-140,0.214778,-0.549483,False
day_of_month,0.954654,7.818787215826104e-37,398.804249,0.787,0.073439,6.777778516070886e-165,0.010534,-1.191212,False
hour,0.949037,1.5222373676285878e-38,427.157579,0.787,0.078311,1.7835181883199156e-187,0.002668,-1.204214,False
month,0.925456,2.1439797837949404e-44,715.17627,0.787,0.117477,0.0,-0.016857,-1.227662,False
day_of_week,0.915061,1.672659833716279e-46,841.114117,0.787,0.128698,0.0,0.005635,-1.257436,False
hour_sin,0.89449,4.069072583114715e-50,1171.042282,0.787,0.135457,0.0,-0.00302,-1.500063,False
hour_cos,0.892725,2.1243007441791894e-50,1170.872924,0.787,0.135258,0.0,-0.000286,-1.500025,False
Flue_gas_temperature__bin,0.888453,4.5690240374655155e-51,1259.556682,0.787,0.160003,0.0,0.001957,-1.300104,False
Boiler_oxygen_level__bin,0.88603,1.9520834529992042e-51,1265.981768,0.787,0.160247,0.0,0.001928,-1.304391,False
dow_sin,0.881161,3.695022537780408e-52,1381.759804,0.787,0.1586,0.0,-0.003255,-1.5032,False
month_sin,0.845672,8.606757846978728e-57,2026.93944,0.787,0.250452,0.0,-0.618763,-1.056887,False
month_cos,0.842773,3.955123452836656e-57,2081.642811,0.787,0.250193,0.0,0.666935,-0.97755,False
dow_cos,0.840251,2.0299065387552813e-57,2229.078532,0.787,0.240591,0.0,-0.010826,-1.495327,False
aph_effect_leak_ratio_log,0.814097,3.240398921880489e-60,1310.905363,0.787,0.12175,0.0,2.852024,16.028893,False
quarter,0.796615,6.610854648135164e-62,2837.711137,0.787,0.240899,0.0,0.200604,-1.345668,False
aph_effect_leak_ratio,0.0511,1.2951115826261545e-94,12601.178647,0.787,0.480371,0.0,112.873232,15475.70028,False
