Column,Dtype,Non_Null,Null,Unique,Min,Max,Mean,Std
CO2_ppm,float64,50091,0,49746,96206.70138954744,99479.65787645523,97844.8815,601.9542
O2_,float64,50091,0,49767,6.410129818131231,6.751855887148429,6.5811,0.0626
Velocity_ms,float64,50091,0,49733,11.481003503399982,12.168874857612622,11.8251,0.1274
Temp_C,float64,50091,0,49736,81.82676065157963,107.42189945754424,94.6281,4.7284
Pressure_Kpa,float64,50091,0,49698,-0.27084960498996435,-0.21406778251913097,-0.2425,0.0106
Flow_rate_KNm3h,float64,50091,0,49684,441.69407679840265,468.3905638653773,455.0422,4.9356
Opacity_,float64,50091,0,49734,49.68589129684358,49.713398572790055,49.6997,0.0051
Dust_mgm3,float64,50091,0,49755,2.1116950253343756,26.83165814702638,14.4824,4.532
Boiler_Eff_,float64,50091,0,49774,93.53586579663698,93.81271823392547,93.6741,0.0507
Entalphy_inlet_MS_kjkg,float64,50091,0,49772,3497.893365800959,3509.8283203037026,3503.8681,2.1949
Entropi_Inlet_MS_KjKg_Deg_C,float64,50091,0,49701,6.592541265486483,6.623719766912098,6.6081,0.0058
Cold_Reheat_Pressure_Mpa,float64,50091,0,49721,2.158862754979479,2.2237207345966894,2.1913,0.0119
Cold_Reheat_Temperature_C,float64,50091,0,49671,316.6198150771641,320.37174443523446,318.4957,0.6983
Entalphy_Cold_Reheat_kjkg,float64,50091,0,49746,3057.3994576729165,3066.321307523387,3061.8607,1.6513
Entalphy_Isentropis_Cold_Reheat_kjkg,float64,50091,0,49724,2950.2832378593803,2963.0429930289893,2956.6632,2.3542
ΔP_aktual_KjKg,float64,50091,0,49729,436.16478400168415,447.87273018211334,442.0174,2.1591
ΔHP_isentropis_KjKg,float64,50091,0,49759,543.609766381142,550.7902315420765,547.2018,1.3227
HP_Turbine_eff_,float64,50091,0,49758,79.85215813448767,81.70410136100062,80.7764,0.3395
O2_in_APH_,float64,50091,0,49702,4.376455567613641,5.089949715117635,4.7329,0.1318
O2_Out_APH_,float64,50091,0,49737,4.889460646910842,5.330118432288203,5.1098,0.0813
Refference_Temperature_C,float64,50091,0,49770,29.965996947256865,33.991185592743605,31.9762,0.7387
Flue_Gas_in_Temperature_C,float64,50091,0,49821,350.6613333935369,361.30788908087027,355.9927,1.9477
APH_Leakage_,float64,50091,0,49757,-0.26027680129070885,4.614322247493647,2.1755,0.8956
Corrected_Flue_Gas_Out_Temperature_C,float64,50091,0,49706,121.60954150045654,128.27022219134193,124.9329,1.2281
APH_Effectiveness_,float64,50091,0,49777,70.31227227028045,72.32386983506443,71.3175,0.3681
Coal_Flow_th,float64,50091,0,49765,163.0561871553121,171.40528138411725,167.2352,1.5328
Energy_Input_From_Boiler_Kcalh,float64,50091,0,49754,694373529.2282007,728044212.6498387,711205256.43,6202829.0387
NTHR_KcalKwh,float64,50091,0,49779,2480.4539944509006,2599.0614702170105,2539.7619,21.7507
NPHR_KcalKwh,float64,50091,0,49714,2648.97140798938,2773.1740280343292,2711.0705,22.9995
Gross_Load_MW,float64,50091,0,49753,292.93990228779717,299.7588307982119,296.3492,1.2569
Nett_Load_MW,float64,50091,0,49782,276.8271388107804,283.2748504433713,280.049,1.184
HHV_KcalKg,float64,50091,0,49695,4228.620221441717,4278.555388629848,4253.5545,9.1523
Main_steam_flow_th_smooth3,float64,50091,0,50076,817.50869618832,842.7471133395412,830.1401,4.0654
Main_steam_temperature_boiler_side__smooth3,float64,50091,0,50071,565.7086967650619,568.6961219810389,567.2029,0.4809
Main_steam_pressure_boiler_side_Mpa_smooth3,float64,50091,0,50080,13.952557282422312,14.590055952855991,14.2717,0.1024
Reheat_steam_temperature_boiler_side__smooth3,float64,50091,0,50073,564.3096349952298,566.8892107811498,565.5997,0.4133
Superheater_desuperheating_water_flow_th_smooth3,float64,50091,0,50072,65.95099445224002,97.35602560496534,81.6236,5.0623
Reheater_desuperheating_water_flow_th_smooth3,float64,50091,0,50081,-0.0023907755762180294,5.483712387192278,2.7427,0.8771
Feedwater_temperature__smooth3,float64,50091,0,50055,223.05650142895612,247.45207988834997,235.2854,3.9154
Feedwater_flow_th_smooth3,float64,50091,0,50068,813.6470960372374,854.0434473093608,833.8276,6.499
Flue_gas_temperature__smooth3,float64,50091,0,50074,119.82941116699163,126.09620997490111,122.9624,1.0083
Boiler_oxygen_level__smooth3,float64,50091,0,50082,4.394190099519527,5.071061474631183,4.7328,0.1086
Main_steam_temperature_turbine_side__smooth3,float64,50091,0,50065,563.3827600727502,566.6313287011992,565.0048,0.5247
Main_steam_pressure_turbine_side_MPa_smooth3,float64,50091,0,50084,13.86124930062962,14.507871330942859,14.1845,0.1035
Reheat_steam_temperature_turbine_side__smooth3,float64,50091,0,50078,564.3056733314262,566.8814952411404,565.5918,0.4153
Reheat_steam_pressure_turbine_side_MPa_smooth3,float64,50091,0,50066,1.9334580445023666,1.994672323980811,1.964,0.0098
Control_stage_pressure_Mpa_smooth3,float64,50091,0,50069,10.244209697780008,10.644085082328623,10.4442,0.0642
High_exhaust_pressure_Mpa_smooth3,float64,50091,0,50078,2.1586317963214414,2.2246060755813604,2.1916,0.0106
Feedwater_pressure_MPa_smooth3,float64,50091,0,50073,15.272125135128263,15.882087937839223,15.5769,0.0982
Condenser_vacuum_kPa_smooth3,float64,50091,0,50076,-93.52378105063599,-92.22732493415515,-92.8761,0.2077
Circulating_water_outlet_temperature__smooth3,float64,50091,0,50075,35.28517343430107,36.30701352850102,35.7953,0.1631
SO2_mgm3_smooth3,float64,50091,0,50077,374.3439219035076,500.6259849941611,437.5011,20.3137
Nox_mgm3_smooth3,float64,50091,0,50078,149.43278296372694,239.04616767552466,194.169,14.4411
CO_mgm3_smooth3,float64,50091,0,50080,-3.935389643735192,525.7252639461436,260.9347,84.9595
CO2_ppm_smooth3,float64,50091,0,50078,96206.70138954744,99479.65787645523,97844.8788,524.6085
O2__smooth3,float64,50091,0,50082,6.410129818131231,6.751855887148429,6.5811,0.0546
Velocity_ms_smooth3,float64,50091,0,50070,11.481003503399982,12.168874857612622,11.8251,0.111
Temp_C_smooth3,float64,50091,0,50077,81.82676065157963,107.42189945754424,94.6281,4.1273
Pressure_Kpa_smooth3,float64,50091,0,50068,-0.27084960498996435,-0.21406778251913097,-0.2425,0.0092
Flow_rate_KNm3h_smooth3,float64,50091,0,50076,441.69407679840265,468.3905638653773,455.0422,4.3157
Opacity__smooth3,float64,50091,0,50080,49.68589129684358,49.713398572790055,49.6997,0.0044
Dust_mgm3_smooth3,float64,50091,0,50079,2.1116950253343756,26.83165814702638,14.4824,3.9464
Boiler_Eff__smooth3,float64,50091,0,50082,93.53586579663698,93.81271823392547,93.6741,0.0442
Entalphy_inlet_MS_kjkg_smooth3,float64,50091,0,50081,3497.893365800959,3509.8283203037026,3503.8681,1.912
Entropi_Inlet_MS_KjKg_Deg_C_smooth3,float64,50091,0,50071,6.592541265486483,6.623719766912098,6.6081,0.005
Cold_Reheat_Pressure_Mpa_smooth3,float64,50091,0,50077,2.158862754979479,2.2237207345966894,2.1913,0.0104
Cold_Reheat_Temperature_C_smooth3,float64,50091,0,50062,316.6198150771641,320.37174443523446,318.4957,0.6107
Entalphy_Cold_Reheat_kjkg_smooth3,float64,50091,0,50065,3057.3994576729165,3066.321307523387,3061.8607,1.4428
Entalphy_Isentropis_Cold_Reheat_kjkg_smooth3,float64,50091,0,50076,2950.2832378593803,2963.0429930289893,2956.6632,2.0518
ΔP_aktual_KjKg_smooth3,float64,50091,0,50066,436.16478400168415,447.87273018211334,442.0174,1.8848
ΔHP_isentropis_KjKg_smooth3,float64,50091,0,50069,543.609766381142,550.7902315420765,547.2018,1.1556
HP_Turbine_eff__smooth3,float64,50091,0,50079,79.85215813448767,81.70410136100062,80.7764,0.2967
O2_in_APH__smooth3,float64,50091,0,50075,4.376455567613641,5.089949715117635,4.7329,0.1152
O2_Out_APH__smooth3,float64,50091,0,50071,4.889460646910842,5.330118432288203,5.1098,0.0709
Refference_Temperature_C_smooth3,float64,50091,0,50082,29.965996947256865,33.991185592743605,31.9762,0.646
Flue_Gas_in_Temperature_C_smooth3,float64,50091,0,50079,350.6613333935369,361.30788908087027,355.9927,1.7011
APH_Leakage__smooth3,float64,50091,0,50075,-0.26027680129070885,4.614322247493647,2.1756,0.7833
Corrected_Flue_Gas_Out_Temperature_C_smooth3,float64,50091,0,50078,121.60954150045654,128.27022219134193,124.9329,1.0709
APH_Effectiveness__smooth3,float64,50091,0,50071,70.31227227028045,72.32386983506443,71.3175,0.3211
Coal_Flow_th_smooth3,float64,50091,0,50079,163.0561871553121,171.40528138411725,167.2352,1.3375
Energy_Input_From_Boiler_Kcalh_smooth3,float64,50091,0,50073,694373529.2282007,728044212.6498387,711205247.3763,5408630.8577
NTHR_KcalKwh_smooth3,float64,50091,0,50080,2480.4539944509006,2599.0614702170105,2539.7618,18.9757
NPHR_KcalKwh_smooth3,float64,50091,0,50068,2648.97140798938,2773.1740280343292,2711.0704,20.0905
Gross_Load_MW_smooth3,float64,50091,0,50074,292.93990228779717,299.7588307982119,296.3492,1.0944
Nett_Load_MW_smooth3,float64,50091,0,50074,276.8271388107804,283.2748504433713,280.049,1.0341
HHV_KcalKg_smooth3,float64,50091,0,50034,4228.620221441717,4278.555388629848,4253.5545,7.9827
